Time,Kinetic Energy,Potential Energy,Total Energy
0,0,49,49
0.2,1.9208,49,50.9208
0.4,7.683201,45.16233,52.84553
0.6,17.25182,37.58117,54.83298
0.8,30.26433,26.80162,57.06596
1,45.38519,14.49198,59.87717
1.2,59.61079,4.02877,63.63956
1.4,68.41175,0.01977615,68.43153
1.6,67.762,5.911794,73.6738
1.8,57.33253,20.97615,78.30869
2,41.40831,40.20289,81.6112
2.2,25.7203,57.94125,83.66154
2.4,13.75563,71.2085,84.96413
2.6,6.117968,79.8183,85.93626
2.8,1.94871,84.82997,86.77868
3,0.2030112,87.35503,87.55804
3.2,0.1696918,88.11972,88.28941
3.4,1.553795,87.42156,88.97536
3.6,4.437953,85.18352,89.62147
3.8,9.248928,80.99862,90.24754
4,16.73473,74.1736,90.90833
4.2,27.87689,63.86084,91.73772
4.4,43.56673,49.46362,93.03035
4.6,63.78223,31.55896,95.34119
4.8,86.147,13.31802,99.46502
5,104.6816,1.290967,105.9726
5.2,111.2485,2.949267,114.1977
5.4,101.4829,20.31341,121.7963
5.6,80.10751,46.279,126.3865
5.8,57.25175,70.34618,127.5979
6,39.92953,86.72779,126.6573
6.2,29.53513,95.28303,124.8182
6.4,24.79576,97.98196,122.7777
6.6,24.4226,96.42114,120.8437
6.8,27.99367,91.17561,119.1693
7,35.95724,81.94579,117.903
7.2,49.31313,67.99964,117.3128
7.4,68.88723,49.04625,117.9335
7.6,93.81399,26.87126,120.6852
7.8,119.2969,7.337365,126.6343
8,135.7649,0.09887499,135.8637
8.2,133.7219,12.24774,145.9696
8.4,113.3625,39.5543,152.9169
8.6,86.25301,68.45598,154.709
8.8,64.24432,88.38686,152.6312
9,51.70749,97.17549,148.883
9.2,48.13053,96.78596,144.9165
9.4,52.47862,89.00729,141.4859
9.6,64.71272,74.42281,139.1355
9.8,85.17848,53.42472,138.6032
10,112.5612,28.49944,141.0606
10.2,140.8563,6.94644,147.8027
10.4,158.2469,0.4288411,158.6758
10.6,153.6773,16.44087,170.1182
10.8,129.071,47.74936,176.8203
11,99.50986,77.35679,176.8666
11.2,78.23741,94.3326,172.57
11.4,69.20753,97.69841,166.9059
11.6,71.78561,89.94347,161.7291
11.8,85.26718,72.91659,158.1838
12,109.0698,48.38992,157.4597
12.2,139.9364,21.20192,161.1383
12.4,168.2415,2.165219,170.4067
12.6,178.977,4.570633,183.5476
12.8,163.6798,30.88597,194.5658
13,132.3878,65.57465,197.9624
13.2,104.0758,90.12431,194.2001
13.4,89.26862,97.99988,187.2685
13.6,89.32739,91.11025,180.4377
13.8,103.2249,72.46751,175.6924
14,129.4272,45.3138,174.741
14.2,162.7821,16.73224,179.5144
14.4,190.4842,0.414759,190.899
14.6,195.4836,10.00773,205.4913
14.8,172.7177,42.6797,215.3974
15,138.4825,77.23449,215.717
15.2,113.1062,95.93969,209.0459
15.4,104.806,95.6554,200.4614
15.6,113.6582,79.85198,193.5102
15.8,137.7755,52.81808,190.5936
16,172.1211,21.90184,194.023
16.2,203.7529,1.435543,205.1884
16.4,213.3708,7.610288,220.9811
16.6,192.2489,40.24332,232.4923
16.8,156.2942,76.85616,233.1503
17,129.0855,96.36673,225.4522
17.2,121.1482,94.43534,215.5836
17.4,132.8413,75.20931,208.0506
17.6,161.2059,44.71209,205.918
17.8,198.1704,13.65032,211.8207
18,226.1129,0.02413663,226.137
18.2,224.8067,17.85567,242.6623
18.4,193.8663,56.7766,250.6429
18.6,157.6337,88.77213,246.4058
18.8,137.9613,97.81701,235.7783
19,140.7867,84.8231,225.6098
19.2,164.1207,56.25954,220.3803
19.4,201.1176,22.31116,223.4288
19.6,235.4354,0.905731,236.3412
19.8,243.6455,10.75796,254.4034
