Time,Kinetic Energy,Potential Energy,Total Energy
0,0,49,49
0.001,4.802E-05,49,49.00005
0.002,0.00019208,48.99991,49.0001
0.003,0.00043218,48.99972,49.00015
0.004,0.00076832,48.99944,49.00021
0.005,0.0012005,48.99907,49.00027
0.006,0.00172872,48.99857,49.0003
0.007,0.00235298,48.99799,49.00034
0.008,0.00307328,48.99731,49.00039
0.009,0.00388962,48.99654,49.00043
0.01,0.004802,48.99568,49.00048
0.011,0.00581042,48.99472,49.00053
0.012,0.00691488,48.99367,49.00058
0.013,0.00811538,48.99252,49.00064
0.014,0.00941192,48.99128,49.00069
0.015,0.0108045,48.98993,49.00073
0.016,0.01229312,48.98848,49.00077
0.017,0.01387778,48.98694,49.00082
0.018,0.01555848,48.9853,49.00086
0.019,0.01733522,48.98357,49.00091
0.02,0.01920801,48.98175,49.00096
0.021,0.02117683,48.97984,49.00101
0.022,0.02324169,48.97783,49.00107
0.023,0.02540259,48.97572,49.00113
0.024,0.02765953,48.9735,49.00116
0.025,0.03001251,48.97119,49.00121
0.026,0.03246152,48.96878,49.00125
0.027,0.03500658,48.96629,49.00129
0.028,0.03764768,48.96369,49.00134
0.029,0.04038482,48.961,49.00139
0.03,0.04321799,48.95823,49.00144
0.031,0.04614721,48.95535,49.0015
0.032,0.04917247,48.95238,49.00155
0.033,0.05229377,48.9493,49.00159
0.034,0.05551111,48.94612,49.00163
0.035,0.0588245,48.94285,49.00167
0.036,0.06223392,48.93948,49.00172
0.037,0.06573939,48.93603,49.00177
0.038,0.06934089,48.93248,49.00182
0.039,0.07303843,48.92883,49.00187
0.04,0.076832,48.92509,49.00192
0.041,0.08072161,48.92126,49.00198
0.042,0.08470726,48.91731,49.00202
0.043,0.08878895,48.91327,49.00206
0.044,0.09296668,48.90913,49.0021
0.045,0.09724044,48.9049,49.00214
0.046,0.1016102,48.90058,49.00219
0.047,0.1060761,48.89617,49.00224
0.048,0.110638,48.89165,49.00229
0.049,0.1152959,48.88705,49.00235
0.05,0.1200499,48.88236,49.00241
0.051,0.1248999,48.87754,49.00245
0.052,0.1298459,48.87264,49.00248
0.053,0.134888,48.86764,49.00253
0.054,0.1400261,48.86255,49.00257
0.055,0.1452603,48.85736,49.00262
0.056,0.1505905,48.85208,49.00267
0.057,0.1560167,48.8467,49.00272
0.058,0.161539,48.84124,49.00277
0.059,0.1671573,48.83567,49.00283
0.06,0.1728716,48.83,49.00287
0.061,0.178682,48.82423,49.00291
0.062,0.1845884,48.81836,49.00295
0.063,0.1905909,48.8124,49.00299
0.064,0.1966894,48.80635,49.00304
0.065,0.2028839,48.80021,49.00309
0.066,0.2091744,48.79397,49.00314
0.067,0.215561,48.78764,49.0032
0.068,0.2220436,48.78121,49.00325
0.069,0.2286223,48.77467,49.00329
0.07,0.235297,48.76803,49.00333
0.071,0.2420677,48.7613,49.00337
0.072,0.2489345,48.75448,49.00342
0.073,0.2558973,48.74757,49.00346
0.074,0.2629561,48.74055,49.00351
0.075,0.270111,48.73345,49.00356
0.076,0.2773619,48.72626,49.00362
0.077,0.2847088,48.71897,49.00368
0.078,0.2921517,48.71156,49.00371
0.079,0.2996907,48.70406,49.00375
0.08,0.3073257,48.69647,49.0038
0.081,0.3150568,48.68878,49.00384
0.082,0.3228839,48.681,49.00388
0.083,0.330807,48.67313,49.00393
0.084,0.3388261,48.66516,49.00398
0.085,0.3469412,48.6571,49.00404
0.086,0.3551524,48.64894,49.0041
0.087,0.3634596,48.6407,49.00416
0.088,0.3718628,48.63233,49.0042
0.089,0.3803621,48.62387,49.00424
0.09,0.3889574,48.61532,49.00428
0.091,0.3976487,48.60668,49.00433
0.092,0.406436,48.59794,49.00438
0.093,0.4153194,48.58911,49.00443
0.094,0.4242987,48.58018,49.00448
0.095,0.4333742,48.57116,49.00454
0.096,0.4425455,48.56205,49.0046
0.097,0.451813,48.55282,49.00463
0.098,0.4611764,48.5435,49.00468
0.099,0.4706359,48.53408,49.00472
0.1,0.4801913,48.52458,49.00477
0.101,0.4898427,48.51497,49.00481
0.102,0.4995902,48.50528,49.00487
0.103,0.5094337,48.49549,49.00492
0.104,0.5193732,48.48561,49.00498
0.105,0.5294088,48.47563,49.00504
0.106,0.5395403,48.46553,49.00507
0.107,0.5497679,48.45535,49.00512
0.108,0.5600914,48.44507,49.00516
0.109,0.5705109,48.4347,49.00521
0.11,0.5810265,48.42423,49.00526
0.111,0.591638,48.41367,49.00531
0.112,0.6023456,48.40302,49.00536
0.113,0.6131491,48.39227,49.00542
0.114,0.6240487,48.38143,49.00548
0.115,0.6350442,48.37047,49.00552
0.116,0.6461357,48.35942,49.00556
0.117,0.6573232,48.34827,49.0056
0.118,0.6686068,48.33704,49.00565
0.119,0.6799862,48.32571,49.00569
0.12,0.6914617,48.31428,49.00574
0.121,0.7030333,48.30276,49.0058
0.122,0.7147007,48.29115,49.00585
0.123,0.7264642,48.27945,49.00591
0.124,0.7383235,48.26763,49.00595
0.125,0.7502789,48.25571,49.00599
0.126,0.7623303,48.24371,49.00603
0.127,0.7744777,48.2316,49.00608
0.128,0.786721,48.21941,49.00613
0.129,0.7990602,48.20712,49.00618
0.13,0.8114954,48.19474,49.00623
0.131,0.8240266,48.18226,49.00629
0.132,0.8366539,48.16969,49.00635
0.133,0.849377,48.15701,49.00639
0.134,0.862196,48.14423,49.00643
0.135,0.8751112,48.13136,49.00647
0.136,0.888122,48.11839,49.00652
0.137,0.901229,48.10534,49.00657
0.138,0.9144319,48.09218,49.00661
0.139,0.9277306,48.07893,49.00666
0.14,0.9411253,48.0656,49.00672
0.141,0.9546161,48.05216,49.00678
0.142,0.9682026,48.03862,49.00682
0.143,0.9818851,48.02497,49.00686
0.144,0.9956637,48.01124,49.0069
0.145,1.009538,47.99741,49.00694
0.146,1.023508,47.98349,49.007
0.147,1.037575,47.96947,49.00704
0.148,1.051737,47.95536,49.0071
0.149,1.065995,47.94116,49.00715
0.15,1.080349,47.92686,49.00721
0.151,1.094799,47.91245,49.00725
0.152,1.109344,47.89794,49.00729
0.153,1.123986,47.88334,49.00733
0.154,1.138724,47.86865,49.00737
0.155,1.153557,47.85386,49.00742
0.156,1.168486,47.83899,49.00747
0.157,1.183512,47.82401,49.00752
0.158,1.198633,47.80894,49.00758
0.159,1.21385,47.79379,49.00763
0.16,1.229162,47.77851,49.00768
0.161,1.244571,47.76314,49.00771
0.162,1.260076,47.74768,49.00775
0.163,1.275676,47.73212,49.0078
0.164,1.291372,47.71647,49.00785
0.165,1.307164,47.70073,49.00789
0.166,1.323053,47.68489,49.00795
0.167,1.339036,47.66896,49.008
0.168,1.355116,47.65294,49.00806
0.169,1.371291,47.63683,49.00812
0.17,1.387562,47.62059,49.00816
0.171,1.403929,47.60427,49.0082
